Date,6/21/2018,,,,,,,,,,,,,,,,,,,,,,,,
Time,9:03:40,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PlateType,384PP_DMSO2,,,,,,,,,,,,,,,,,,,,,,,,
Barcode,AA00009981,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
WellName,WellRow,WellColumn,GeoX,GeoY,TransducerZ,Wall ToF (us), Wall Vpp,EW BB ToF (us), EW BB Vpp,EW TB ToF (us), EW TB Vpp,FW BB ToF (us), FW BB Vpp,FW TB1 ToF (us), FW TB1 Vpp,FW TB2 ToF (us), FW TB2 Vpp,SR ToF (us), SR Vpp,SR2 ToF (us), SR2 Vpp,Well Round Trip ToF (us), Well Round Trip Vpp,Bottom Thickness (us), BottomEchoAmpRatio
H1,7,0,55442.29338,40345.4124,17184.826,,,32.060881,2.875,,,,,32.672881,1.953125,,,36.258881,3.984375,,,,,0.612,0.679348
H2,7,1,59933.14038,40345.4124,17184.826,,,32.038881,2.84375,,,,,32.654881,1.96875,,,36.194881,3.984375,,,,,0.616,0.692308
H3,7,2,64423.98738,40345.4124,17184.826,,,32.006881,2.8125,32.622881,3.984375,,,,,,,,,,,,,0.616,
H4,7,3,68914.83438,40345.4124,17184.826,,,31.986881,2.828125,32.602881,3.984375,,,,,,,,,,,,,0.616,
H5,7,4,73405.68138,40345.4124,17184.826,,,31.968881,2.796875,32.584881,3.984375,,,,,,,,,,,,,0.616,
H6,7,5,77896.52838,40345.4124,17184.826,,,31.950881,2.796875,32.568881,3.984375,,,,,,,,,,,,,0.618,
H7,7,6,82387.37538,40345.4124,17184.826,,,31.942881,2.703125,32.560881,3.984375,,,,,,,,,,,,,0.618,
H8,7,7,86878.22238,40345.4124,17184.826,,,31.936881,2.765625,32.556881,3.984375,,,,,,,,,,,,,0.62,
H9,7,8,91369.06938,40345.4124,17184.826,,,31.934881,2.75,32.554881,3.984375,,,,,,,,,,,,,0.62,
H10,7,9,95859.91638,40345.4124,17184.826,,,31.936881,2.75,32.556881,3.984375,,,,,,,,,,,,,0.62,
H11,7,10,100350.7634,40345.4124,17184.826,,,31.934881,2.78125,32.552881,3.984375,,,,,,,,,,,,,0.618,
H12,7,11,104841.6104,40345.4124,17184.826,,,31.926881,2.78125,32.546881,3.984375,,,,,,,,,,,,,0.62,
H13,7,12,109332.4574,40345.4124,17184.826,,,31.926881,2.6875,32.542881,3.984375,,,,,,,,,,,,,0.616,
H14,7,13,113823.3044,40345.4124,17184.826,,,31.928881,2.34375,32.546881,3.984375,,,,,,,,,,,,,0.618,
H15,7,14,118314.1514,40345.4124,17184.826,,,31.920881,2.296875,32.536881,3.984375,,,,,,,,,,,,,0.616,
H16,7,15,122804.9984,40345.4124,17184.826,,,31.914881,2.390625,32.530881,3.984375,,,,,,,,,,,,,0.616,
H17,7,16,127295.8454,40345.4124,17184.826,,,31.906881,2.375,32.524881,3.984375,,,,,,,,,,,,,0.618,
H18,7,17,131786.6924,40345.4124,17184.826,,,31.908881,2.3125,32.524881,3.984375,,,,,,,,,,,,,0.616,
H19,7,18,136277.5394,40345.4124,17184.826,,,31.910881,2.234375,32.524881,3.984375,,,,,,,,,,,,,0.614,
H20,7,19,140768.3864,40345.4124,17184.826,,,31.918881,2.296875,32.534881,3.984375,,,,,,,,,,,,,0.616,
H21,7,20,145259.2334,40345.4124,17184.826,,,31.930881,2.28125,32.542881,3.984375,,,,,,,,,,,,,0.612,
H22,7,21,149750.0804,40345.4124,17184.826,,,31.946881,2.34375,32.556881,3.984375,,,,,,,,,,,,,0.61,
H23,7,22,154240.9274,40345.4124,17184.826,,,31.964881,2.734375,32.576881,3.984375,,,,,,,,,,,,,0.612,
H24,7,23,158731.7744,40345.4124,17184.826,,,31.974881,2.765625,32.582881,3.984375,,,,,,,,,,,,,0.608,
I1,8,0,55448.48463,35854.4124,17184.826,,,32.068881,2.84375,,,,,32.682881,1.90625,,,36.172881,3.984375,,,,,0.614,0.67033
